Date,Open,Range,Volume,Log_Volume,Return_Percentage,3_Day_Avg_AdjClose(Delay),PriorDay_AdjClose,Adj Close
2023-01-06,144.74,9.76,40504400,7.61,4.164%,144.3591717,142.58,148.52
2023-01-09,152.84,9.15,50423100,7.70,5.175%,146.171621,148.52,156.20
2023-01-10,155.07,4.90,38410100,7.58,1.798%,149.1001843,156.20,159.01
2023-01-11,158.40,4.65,35328500,7.55,0.578%,154.5774943,159.01,159.93
2023-01-12,161.00,11.45,55140900,7.74,3.187%,158.3822887,159.93,165.03
2023-01-13,162.78,7.57,44728700,7.65,2.350%,161.3241833,165.03,168.91
2023-01-17,168.99,8.29,51110200,7.71,4.752%,164.622569,168.91,176.93
2023-01-18,176.67,5.91,43962400,7.64,-1.836%,170.28979,176.93,173.68
2023-01-19,170.36,4.66,45293200,7.66,-3.522%,173.1750387,173.68,167.57
2023-01-20,170.11,10.31,56496700,7.75,6.406%,172.728592,167.57,178.30
2023-01-23,180.64,14.27,65516300,7.82,7.590%,173.1850383,178.30,191.84
2023-01-24,188.27,6.75,49620400,7.70,0.375%,179.2353923,191.84,192.56
2023-01-25,189.13,7.90,44953700,7.65,0.301%,187.564631,192.56,193.14
2023-01-26,197.01,8.88,48953500,7.69,2.479%,192.5088703,193.14,197.92
2023-01-27,194.62,12.23,54214200,7.73,2.843%,194.5378823,197.92,203.55
2023-01-30,199.50,9.90,48861100,7.69,-5.907%,198.2027587,203.55,191.53
2023-01-31,191.70,7.37,49801700,7.70,1.957%,197.666356,191.53,195.27
2023-02-01,196.91,15.81,66047700,7.82,7.197%,196.783447,195.27,209.33
2023-02-02,210.00,12.49,56427600,7.75,3.658%,198.7091623,209.33,216.98
2023-02-03,210.00,9.56,42936600,7.63,-2.805%,207.1949973,216.98,210.90
2023-02-06,208.06,7.84,45219700,7.66,-0.052%,212.4024457,210.90,210.79
2023-02-07,213.82,11.09,66415000,7.82,5.140%,212.8888807,210.79,221.62
2023-02-08,223.87,8.70,55965100,7.75,0.144%,214.434784,221.62,221.94
2023-02-09,226.06,9.00,52387600,7.72,0.594%,218.1163127,221.94,223.26
2023-02-10,216.90,12.67,55073700,7.74,-4.799%,222.2742663,223.26,212.55
2023-02-13,215.38,10.86,47491900,7.68,2.459%,219.2490893,212.55,217.77
2023-02-14,215.78,16.83,67547400,7.83,5.430%,217.8597767,217.77,229.60
2023-02-15,225.49,7.49,42057500,7.62,-0.901%,219.9720763,229.60,227.53
2023-02-16,221.33,6.23,41202600,7.61,-3.347%,224.9662883,227.53,219.91
2023-02-17,216.31,7.65,46588800,7.67,-2.791%,225.6792703,219.91,213.78
2023-02-21,210.00,8.76,41001500,7.61,-3.427%,220.405192,213.78,206.45
2023-02-22,207.07,6.83,51318400,7.71,0.479%,213.3786467,206.45,207.44
2023-02-23,234.40,8.63,111799500,8.05,14.021%,209.2206827,207.44,236.52
2023-02-24,232.25,5.27,58971600,7.77,-1.597%,216.8036347,236.52,232.75
2023-02-27,236.70,4.26,45299400,7.66,0.923%,225.569331,232.75,234.89
